experiment_cohort,day_of_experiment,device_type,gender,region,age,total_artists_last_100_days,minutes_listening_during_experiment,user_id
treatment,24,mobile,F,west,27.3,144,78.6,639564106
treatment,24,mobile,F,west,42.4,109,69.8,113180050
control,24,mobile,F,west,18.2,19,69,381939276
control,24,mobile,F,west,26.5,76,50.4,307690628
control,24,mobile,F,west,43.6,72,62.4,169692793
control,25,mobile,F,west,34.7,138,89.7,279052760
control,25,mobile,F,west,32.1,42,67.5,325062753
treatment,26,mobile,F,west,40.3,108,61.8,378732047
treatment,26,mobile,F,west,25,76,110.1,607614791
treatment,27,mobile,F,west,43,146,68.4,156664677
control,27,mobile,F,west,22.6,67,43.4,652623520
control,27,mobile,F,west,35.8,61,52.2,559411682
control,27,mobile,F,west,24.6,138,38.2,207896752
treatment,28,mobile,F,west,27.6,149,79.4,360768908
control,28,mobile,F,west,21.9,143,52.5,558430560
control,28,mobile,F,west,21.7,62,63.7,188311096
control,28,mobile,F,west,24.3,89,58.8,622069396
treatment,1,mobile,F,south,22.8,90,50.8,522416599
control,1,mobile,F,south,23.5,39,53.8,431080157
control,2,mobile,F,south,22.5,72,57.5,451367347
treatment,3,mobile,F,south,23.4,51,75.8,227641238
treatment,3,mobile,F,south,25.9,63,61.9,631120960
control,3,mobile,F,south,21.7,62,63.8,511159178
control,3,mobile,F,south,38.7,93,54.1,161087332
treatment,4,mobile,F,south,21,101,109.6,530941136
treatment,4,mobile,F,south,39.7,133,56.4,246758087
control,4,mobile,F,south,26.9,285,61.6,285075862
control,4,mobile,F,south,24.5,45,41.7,228059870
control,5,mobile,F,south,23,106,78.9,143631939
control,5,mobile,F,south,25.2,111,61.3,160535028
control,5,mobile,F,south,38.6,73,77.8,457082354
treatment,6,mobile,F,south,28.3,119,94.2,395848433
control,6,mobile,F,south,35.5,72,71.3,248290557
control,7,mobile,F,south,22.8,101,51.2,405589105
control,7,mobile,F,south,28.5,121,67.9,484708720
treatment,8,mobile,F,south,23.4,84,93.4,147397383
control,8,mobile,F,south,58.1,121,52.7,599142367
control,8,mobile,F,south,21.9,146,62.6,126338995
control,10,mobile,F,south,21.1,88,63.5,574949347
treatment,11,mobile,F,south,20.6,222,76.5,564978529
treatment,11,mobile,F,south,45.3,141,71.7,149506506
control,11,mobile,F,south,32.2,48,75,624850345
control,11,mobile,F,south,20.1,116,39.9,76882520
control,11,mobile,F,south,19.1,56,49.7,253642675
control,12,mobile,F,south,23.2,79,58.4,557467377
control,12,mobile,F,south,22.8,70,42.6,356669171
control,12,mobile,F,south,31,49,52.9,528036631
control,13,mobile,F,south,29.9,77,53.2,660639918
control,14,mobile,F,south,33.6,153,45,657722039
treatment,15,mobile,F,south,39.6,73,55.6,85412531
control,16,mobile,F,south,23.2,65,55.6,295034916
treatment,17,mobile,F,south,18.3,130,83.7,151804656
control,18,mobile,F,south,18.2,117,59.3,605659071
control,18,mobile,F,south,26.9,97,54.4,84459019
control,18,mobile,F,south,26.6,32,43.8,580420681
treatment,19,mobile,F,south,26,141,68.5,362304407
treatment,19,mobile,F,south,22.2,118,71,271905773
control,19,mobile,F,south,26.1,111,61.5,264253682
control,19,mobile,F,south,60.2,26,57.4,84937585
control,19,mobile,F,south,27,115,59.5,593707905
treatment,20,mobile,F,south,18.4,113,82.1,505090835
control,20,mobile,F,south,24.6,56,61.5,588493271
treatment,21,mobile,F,south,41.2,66,61.5,456679011
control,21,mobile,F,south,30.7,101,53.4,130104977
control,21,mobile,F,south,28.3,128,70,434847433
control,22,mobile,F,south,24,24,37.8,82986208
control,23,mobile,F,south,26.3,51,53.4,519063768
control,24,mobile,F,south,40.1,159,68.8,673343184
control,24,mobile,F,south,30.8,104,58.9,285120724
control,24,mobile,F,south,20.3,32,71.7,313019210
treatment,25,mobile,F,south,35.5,42,66.4,528570096
treatment,25,mobile,F,south,27.8,100,93.1,325193302
treatment,25,mobile,F,south,32.2,47,62.1,344798943
control,25,mobile,F,south,30.8,91,65.8,229965575
control,25,mobile,F,south,18.2,91,63.8,158216550
control,27,mobile,F,south,31,68,63.7,139890974
control,28,mobile,F,south,42.9,267,55,421382687
control,1,mobile,F,midwest,28.7,61,51.7,394374670
control,1,mobile,F,midwest,25.8,69,58.3,224991436
treatment,2,mobile,F,midwest,27.4,140,55.8,102806177
treatment,3,mobile,F,midwest,37.6,118,74.2,173780214
control,3,mobile,F,midwest,18.2,81,72.8,445624502
control,3,mobile,F,midwest,63.2,75,66.9,386272087
control,4,mobile,F,midwest,18.1,42,51.2,221682592
control,5,mobile,F,midwest,20.7,64,65.3,370849973
control,6,mobile,F,midwest,35,92,68.6,122181755
control,6,mobile,F,midwest,20.2,32,57.8,373690910
treatment,7,mobile,F,midwest,18.9,72,79.1,606610343
control,7,mobile,F,midwest,21,69,51.5,415982662
treatment,9,mobile,F,midwest,34.9,65,64.1,144679927
control,9,mobile,F,midwest,27,104,64.3,98044251
control,14,mobile,F,midwest,29.6,90,59.5,263270578
treatment,15,mobile,F,midwest,18.8,35,61.3,465044338
control,15,mobile,F,midwest,22.6,63,38.4,275098823
control,15,mobile,F,midwest,20.3,48,49.1,642974519
treatment,16,mobile,F,midwest,38.8,52,79.9,210797183
control,16,mobile,F,midwest,32.1,90,65.2,284327605
treatment,17,mobile,F,midwest,40.3,71,89.1,639511622
treatment,18,mobile,F,midwest,24.6,43,65.5,166179891
control,18,mobile,F,midwest,25.1,65,41.4,177042700
treatment,19,mobile,F,midwest,27.2,70,62.3,125256947
control,19,mobile,F,midwest,21.1,63,45.6,365301123
treatment,20,mobile,F,midwest,32.7,101,83.2,410372254
treatment,20,mobile,F,midwest,28.2,133,52,240745801
control,20,mobile,F,midwest,39.5,142,71.1,464370946
treatment,21,mobile,F,midwest,35.9,122,78,655501239
treatment,21,mobile,F,midwest,48.4,131,58.9,338834228
treatment,22,mobile,F,midwest,32.8,63,77.4,531347245
treatment,22,mobile,F,midwest,21.1,65,83.1,698494521
treatment,23,mobile,F,midwest,40.5,78,75.8,283270199
treatment,24,mobile,F,midwest,36.6,160,88.3,309459282
treatment,24,mobile,F,midwest,20.2,34,79.9,206755180
control,25,mobile,F,midwest,24.2,73,84.4,606315499
control,26,mobile,F,midwest,32.6,159,49.5,216964830
treatment,28,mobile,F,midwest,18.1,70,49,436460983
control,28,mobile,F,midwest,29.7,119,53.9,642367218
treatment,1,mobile,F,northeast,18.8,26,99.8,375536764
treatment,1,mobile,F,northeast,21.3,97,52.7,147216495
control,1,mobile,F,northeast,25.8,87,62.7,562655231
control,1,mobile,F,northeast,28.2,87,53.2,650510964
control,2,mobile,F,northeast,30,89,42,115745602
control,2,mobile,F,northeast,18,94,69.4,474721719
control,2,mobile,F,northeast,22.8,61,37.1,573433419
treatment,3,mobile,F,northeast,37.2,54,88.7,442688257
control,3,mobile,F,northeast,33.8,70,52.4,402039276
treatment,5,mobile,F,northeast,32.6,25,55,550546663
control,5,mobile,F,northeast,21.8,104,56.2,152672685
control,5,mobile,F,northeast,19,69,64.4,100630194
treatment,6,mobile,F,northeast,23.3,112,92,95271580
treatment,6,mobile,F,northeast,30.3,66,80.9,478271637
control,6,mobile,F,northeast,20.6,38,57.4,482627278
control,6,mobile,F,northeast,21.8,64,84.4,171277178
treatment,7,mobile,F,northeast,19.9,151,65.4,148022507
control,7,mobile,F,northeast,42.6,57,75.4,612724546
control,7,mobile,F,northeast,24,68,61.5,280349487
control,7,mobile,F,northeast,25.6,173,84.7,481567281
control,7,mobile,F,northeast,43.5,47,48.8,337104442
treatment,8,mobile,F,northeast,32.4,56,74,205884111
control,8,mobile,F,northeast,31.6,146,36.2,188918097
control,8,mobile,F,northeast,33.9,66,36.2,122373464
control,8,mobile,F,northeast,20.2,28,43.3,438789996
treatment,9,mobile,F,northeast,35,49,62,111101135
control,9,mobile,F,northeast,26.8,109,54.5,645427183
control,9,mobile,F,northeast,26.3,89,67.4,472854937
control,10,mobile,F,northeast,40.2,137,64.6,128449233
control,10,mobile,F,northeast,37.8,98,35.5,332061680
treatment,11,mobile,F,northeast,21.5,60,74.8,702019272
treatment,12,mobile,F,northeast,24.1,95,95,94845670
treatment,12,mobile,F,northeast,42.2,73,64.2,211162942
treatment,12,mobile,F,northeast,22.7,154,78.6,544330855
treatment,12,mobile,F,northeast,23.1,84,75.7,513178891
treatment,13,mobile,F,northeast,21.1,150,57.4,456561624
control,14,mobile,F,northeast,36.4,134,81.5,658522367
control,14,mobile,F,northeast,40.1,32,75.5,153192779
control,14,mobile,F,northeast,31.4,61,45.3,303884174
control,14,mobile,F,northeast,28.8,101,39,453681687
control,15,mobile,F,northeast,19.9,37,51,464650550
treatment,16,mobile,F,northeast,34.5,35,83.3,132426773
control,16,mobile,F,northeast,33.2,53,71.5,142722814
control,16,mobile,F,northeast,23.5,126,66.8,223953252
treatment,17,mobile,F,northeast,19.5,99,75.5,249239591
treatment,17,mobile,F,northeast,24,64,67.2,119253664
control,17,mobile,F,northeast,20,97,48.9,167131717
control,17,mobile,F,northeast,24.5,44,66.9,584958227
treatment,19,mobile,F,northeast,26,112,93.6,481741776
control,19,mobile,F,northeast,29.1,118,39.2,379279485
treatment,20,mobile,F,northeast,37.8,66,54.1,375566505
control,20,mobile,F,northeast,34.2,88,49.8,316446608
control,21,mobile,F,northeast,30.2,63,45.4,490168491
control,21,mobile,F,northeast,24.1,67,50.1,340245819
treatment,22,mobile,F,northeast,27.5,69,83.1,634212541
treatment,22,mobile,F,northeast,23.4,77,67.2,81819635
treatment,22,mobile,F,northeast,52.2,48,94.2,685304160
treatment,23,mobile,F,northeast,26,94,78.1,440184097
treatment,23,mobile,F,northeast,30.4,67,82.3,564627647
control,23,mobile,F,northeast,26.9,116,61.9,81734499
treatment,24,mobile,F,northeast,40,49,72.7,192145080
treatment,24,mobile,F,northeast,38.3,45,53.7,175648338
control,24,mobile,F,northeast,30.3,91,53.3,232622219
control,24,mobile,F,northeast,35.3,143,67.9,598158095
control,24,mobile,F,northeast,24.5,126,62.1,176317072
control,24,mobile,F,northeast,32,64,50.8,380564710
treatment,26,mobile,F,northeast,44.4,60,53.8,458137326
treatment,26,mobile,F,northeast,24.1,187,79.6,112619442
treatment,26,mobile,F,northeast,37.8,100,77.5,466443398
treatment,27,mobile,F,northeast,36,118,83.1,358451909
treatment,28,mobile,F,northeast,24,52,73.8,518483940
control,28,mobile,F,northeast,19.4,28,70.1,180295347
treatment,1,mobile,F,west,19.7,26,54.6,654555365
treatment,1,mobile,F,west,30.7,114,66.4,181626338
treatment,2,mobile,F,west,42.4,87,77.6,375110715
treatment,3,mobile,F,west,19.2,149,71,269988648
treatment,3,mobile,F,west,27.6,59,83.8,534957333
control,3,mobile,F,west,18.3,49,84.7,358554764
treatment,4,mobile,F,west,25.6,48,87,588087289
control,5,mobile,F,west,25.9,29,51.6,675517918
treatment,7,mobile,F,west,20.6,124,74.6,550811474
control,7,mobile,F,west,20.6,112,55.7,636494364
control,7,mobile,F,west,30.5,74,63.1,114683900
control,7,mobile,F,west,25,68,57.8,235635152
control,7,mobile,F,west,41,102,68,123265978
treatment,8,mobile,F,west,28.7,83,70.1,671495019
control,8,mobile,F,west,34.5,71,60.4,685352571
control,8,mobile,F,west,56.2,97,77.3,651082223
control,8,mobile,F,west,28.2,72,43.3,414251446
treatment,9,mobile,F,west,40,104,61.5,322213544
control,10,mobile,F,west,26.8,71,52.3,585994143
control,10,mobile,F,west,44.7,78,58.6,90416198
control,10,mobile,F,west,20,140,45.2,479471890
treatment,11,mobile,F,west,32.8,79,83.8,207099823
treatment,11,mobile,F,west,21.8,72,61.7,441659316
control,11,mobile,F,west,30.4,119,50.6,246309944
control,11,mobile,F,west,34,152,34.9,398785489
treatment,12,mobile,F,west,25.6,66,82.7,682531773
control,12,mobile,F,west,31.1,62,60,329341653
control,12,mobile,F,west,25.7,50,47.5,401015852
treatment,13,mobile,F,west,35.2,34,106.2,91731787
control,15,mobile,F,west,30.9,36,87.8,195725529
control,15,mobile,F,west,26,125,40,642823711
treatment,16,mobile,F,west,31.6,32,98.2,264135918
control,16,mobile,F,west,33,76,54.3,653152583
control,16,mobile,F,west,25.9,94,46.4,363077232
treatment,17,mobile,F,west,24.3,40,59.9,304419163
treatment,17,mobile,F,west,21.3,48,66.7,185395046
control,17,mobile,F,west,30.3,107,60.2,583937322
treatment,18,mobile,F,west,22.6,140,78.6,568409320
control,18,mobile,F,west,27.8,91,56.5,124898865
control,18,mobile,F,west,28.5,57,54.6,181263837
control,19,mobile,F,west,18.7,120,63.3,586914343
control,19,mobile,F,west,25.6,132,66.3,180975560
control,19,mobile,F,west,40.7,168,47.9,120305651
treatment,20,mobile,F,west,27.7,128,82.3,312165915
treatment,20,mobile,F,west,34.6,63,98.8,220499466
control,20,mobile,F,west,23.3,12,54,147113238
control,20,mobile,F,west,36.1,90,54.9,401787632
treatment,21,mobile,F,west,33.5,71,68.7,616047485
control,21,mobile,F,west,27,37,56.5,614029301
control,21,mobile,F,west,22.8,118,51.9,159259804
control,21,mobile,F,west,25.9,68,60.8,301373826
control,21,mobile,F,west,26.7,137,50.2,700153217
treatment,22,mobile,F,west,35.3,49,79.4,484338392
control,22,mobile,F,west,49.4,44,59.6,328248861
control,22,mobile,F,west,38.6,61,39.9,524556058
control,22,mobile,F,west,24.3,93,44.8,147902615
control,22,mobile,F,west,39,51,59.9,673809579
treatment,23,mobile,F,west,22,123,86.8,265683396
treatment,23,mobile,F,west,33.1,91,81.9,655685845
treatment,24,mobile,F,west,25,54,88.4,541569923
control,25,mobile,F,west,23.6,46,35.1,599304872
control,25,mobile,F,west,34.6,143,46,445487436
treatment,26,mobile,F,west,38,83,101.5,391150227
control,26,mobile,F,west,34.3,191,63.9,222388473
treatment,27,mobile,F,west,26.4,113,83,76359977
treatment,27,mobile,F,west,25.2,82,94.9,360437454
control,27,mobile,F,west,22.8,55,59.5,101891992
control,27,mobile,F,west,31.4,76,61.1,261998313
control,1,mobile,F,south,29.7,167,78.1,500201882
treatment,3,mobile,F,south,24,75,72.2,644535074
treatment,3,mobile,F,south,24.2,27,80.1,318645886
treatment,3,mobile,F,south,20.7,20,60,496967158
treatment,3,mobile,F,south,34.9,92,40.7,533260584
control,3,mobile,F,south,43.1,33,69.8,609799743
treatment,4,mobile,F,south,25.2,36,63.9,210814585
control,5,mobile,F,south,36.4,52,52.4,101561014
control,5,mobile,F,south,21.4,71,43.9,469906671
control,5,mobile,F,south,18,145,66.1,561487505
treatment,6,mobile,F,south,40.5,153,73.3,503842740
control,6,mobile,F,south,21.6,76,48.6,392170375
control,6,mobile,F,south,38.6,117,74.9,688999854
treatment,7,mobile,F,south,26.3,189,59.1,452981613
control,8,mobile,F,south,20,16,60.2,99777628
control,8,mobile,F,south,21.1,50,55.7,313406954
control,8,mobile,F,south,32.1,68,66.6,392147931
treatment,9,mobile,F,south,26.7,51,84.2,702626138
treatment,9,mobile,F,south,19.1,44,67.7,432489765
control,9,mobile,F,south,32.4,79,81,371250715
control,9,mobile,F,south,34.2,71,50.6,438358564
treatment,10,mobile,F,south,30.9,34,74.3,340562188
treatment,10,mobile,F,south,31.7,120,73.2,489699858
control,10,mobile,F,south,27.5,26,60.6,160643795
treatment,11,mobile,F,south,19.4,146,82.5,86402149
treatment,12,mobile,F,south,25.3,84,88.1,633330982
treatment,12,mobile,F,south,25.5,55,83.1,610191311
treatment,12,mobile,F,south,25.8,46,62.2,125644765
control,12,mobile,F,south,19.1,77,79,289220996
control,12,mobile,F,south,21.1,47,51.5,161905702
control,12,mobile,F,south,44.8,38,58.5,518276871
control,12,mobile,F,south,19.9,156,77.6,540726459
treatment,13,mobile,F,south,27.9,70,59.6,550410658
treatment,14,mobile,F,south,21.2,110,72.4,300778730
control,16,mobile,F,south,35.3,57,63.3,225605915
treatment,17,mobile,F,south,18.9,131,100.3,336395761
control,17,mobile,F,south,20.5,135,60.1,393394310
control,17,mobile,F,south,21.7,48,49.3,495107117
control,17,mobile,F,south,25.9,94,49.3,609627948
treatment,18,mobile,F,south,34.4,25,40.5,277632439
treatment,18,mobile,F,south,33.9,44,93.1,551744260
treatment,19,mobile,F,south,21.9,35,86.8,107598167
control,19,mobile,F,south,25.1,62,57.1,330633270
control,19,mobile,F,south,29.3,52,71.6,666058181
control,19,mobile,F,south,30.7,61,56.5,246539298
treatment,20,mobile,F,south,23.1,99,85,116322816
control,20,mobile,F,south,25.7,65,69.4,502689057
control,20,mobile,F,south,36.3,45,67.5,230953951
control,20,mobile,F,south,21.1,66,72.1,561723035
control,20,mobile,F,south,26.6,48,61.5,275218066
treatment,21,mobile,F,south,29,74,66.3,423663308
control,21,mobile,F,south,27.4,16,56.6,395322719
control,21,mobile,F,south,28.3,153,58.8,107652019
treatment,22,mobile,F,south,19.5,56,83.8,545499838
control,22,mobile,F,south,34.9,39,64.5,258439962
control,23,mobile,F,south,33,58,67.4,528435704
control,23,mobile,F,south,30.5,66,56.4,260763927
control,26,mobile,F,south,26.2,72,54.5,87174220
treatment,28,mobile,F,south,24.2,159,95.1,323878802
treatment,28,mobile,F,south,52.8,43,71.5,675040367
control,1,mobile,F,midwest,35.3,62,59.8,194880745
treatment,2,mobile,F,midwest,33.4,76,90,661349179
control,2,mobile,F,midwest,44,97,40.8,333239392
treatment,4,mobile,F,midwest,50,52,79.7,328792230
control,4,mobile,F,midwest,41.5,64,47.4,390200519
control,4,mobile,F,midwest,31.2,96,60.6,242005176
control,5,mobile,F,midwest,35.9,133,58.3,473065503
control,6,mobile,F,midwest,32.7,39,46,341420934
treatment,8,mobile,F,midwest,31.4,73,62.7,285840428
control,8,mobile,F,midwest,31.2,75,57.1,582467521
treatment,9,mobile,F,midwest,25,28,59.4,287997271
treatment,10,mobile,F,midwest,34.2,41,55.3,120185572
control,10,mobile,F,midwest,33.6,126,57.9,490742234
control,11,mobile,F,midwest,24.7,76,70.8,416112298
control,11,mobile,F,midwest,23.4,99,52.7,649978733
control,14,mobile,F,midwest,43.7,81,54.5,241446385
treatment,15,mobile,F,midwest,20.1,108,64.3,445158169
control,15,mobile,F,midwest,39.1,74,60.6,625402575
control,15,mobile,F,midwest,27.4,40,41.9,151820905
control,17,mobile,F,midwest,18.5,93,61,460845585
treatment,18,mobile,F,midwest,21.6,38,75.8,597029579
treatment,20,mobile,F,midwest,38.4,65,58,458536152
control,20,mobile,F,midwest,24.7,36,93.9,300734114
control,22,mobile,F,midwest,35.4,44,48.9,604323462
control,23,mobile,F,midwest,19.7,110,59.1,273860848
control,23,mobile,F,midwest,30.2,96,61.1,421504402
control,23,mobile,F,midwest,30.6,120,65.1,118841131
treatment,25,mobile,F,midwest,38,125,61.7,167781007
control,25,mobile,F,midwest,19.9,83,50.6,681820223
control,27,mobile,F,midwest,35.3,90,42.9,446879169
treatment,28,mobile,F,midwest,28.8,54,59.7,298462793
control,28,mobile,F,midwest,30.1,104,45.9,448764601
control,28,mobile,F,midwest,30.8,92,69.8,700115170
control,28,mobile,F,midwest,19.1,164,68.6,446344160
treatment,1,mobile,F,northeast,18.2,105,62.1,597957548
treatment,1,mobile,F,northeast,22.3,59,80.6,497204976
control,1,mobile,F,northeast,20.8,49,39.7,331919407
treatment,2,mobile,F,northeast,43.6,88,95.4,86615439
treatment,3,mobile,F,northeast,19.3,51,73.6,303753598
control,3,mobile,F,northeast,43,120,72.9,317407610
control,3,mobile,F,northeast,18.2,149,49.3,189509406
control,3,mobile,F,northeast,25.7,60,48.8,677215892
treatment,5,mobile,F,northeast,43.2,66,91.3,213213461
treatment,5,mobile,F,northeast,38.6,97,91.2,701468857
control,6,mobile,F,northeast,18,77,75.7,496537343
control,6,mobile,F,northeast,35.1,15,70.6,148975721
control,7,mobile,F,northeast,23.9,110,63,283284659
control,7,mobile,F,northeast,19.1,34,67.6,258305257
treatment,8,mobile,F,northeast,30.4,66,75.9,126665586
control,8,mobile,F,northeast,24.9,112,41.4,252460751
control,8,mobile,F,northeast,33.7,59,67.9,478928027
treatment,9,mobile,F,northeast,27.3,64,84.4,416720184
control,9,mobile,F,northeast,25.8,39,51.2,191585573
treatment,10,mobile,F,northeast,35,36,70.8,371154452
control,10,mobile,F,northeast,26,61,59.6,515798023
control,10,mobile,F,northeast,23.6,34,64.7,142399991
control,10,mobile,F,northeast,29.4,76,55.9,300461668
treatment,11,mobile,F,northeast,27.3,172,69.6,109126503
treatment,11,mobile,F,northeast,22.7,106,70.3,334414086
control,11,mobile,F,northeast,32.1,127,32,86315291
control,11,mobile,F,northeast,34,143,39.8,587276901
control,12,mobile,F,northeast,28.3,87,56.1,462428628
control,13,mobile,F,northeast,41.8,83,63.3,197436302
control,13,mobile,F,northeast,38.5,69,67.1,221922080
treatment,14,mobile,F,northeast,31.6,126,81,693465103
treatment,14,mobile,F,northeast,36.3,30,67.3,689796422
control,14,mobile,F,northeast,27,164,34.6,437887493
treatment,15,mobile,F,northeast,24.9,74,92.2,391753918
treatment,15,mobile,F,northeast,42.7,60,86.5,116410650
control,15,mobile,F,northeast,23.6,98,34.2,484982395
control,16,mobile,F,northeast,31.5,113,102.8,539393028
control,16,mobile,F,northeast,19.9,71,63,575045501
control,16,mobile,F,northeast,22,59,169.9,567141387
control,17,mobile,F,northeast,22.4,49,66.3,581718442
control,17,mobile,F,northeast,39.9,126,49.3,515334757
control,18,mobile,F,northeast,35.4,173,72.2,468131914
control,19,mobile,F,northeast,36.8,52,53.7,555846056
control,20,mobile,F,northeast,40.7,135,68.8,190808580
control,20,mobile,F,northeast,40.7,74,57.2,403394356
control,20,mobile,F,northeast,18.3,91,55.6,402560102
treatment,21,mobile,F,northeast,30.1,96,60.8,539079464
treatment,21,mobile,F,northeast,27.6,84,72.5,383843011
treatment,21,mobile,F,northeast,35.2,107,75.3,314097335
control,21,mobile,F,northeast,26.6,58,79.7,660598795
control,21,mobile,F,northeast,29.2,68,50.9,75103129
control,21,mobile,F,northeast,27.2,70,43,77117890
control,21,mobile,F,northeast,29,83,70.1,663203201
control,22,mobile,F,northeast,19.7,131,57.4,258590586
treatment,23,mobile,F,northeast,35.7,81,62.9,461165076
treatment,23,mobile,F,northeast,32.8,112,75.9,78178495
control,23,mobile,F,northeast,39,96,63.8,646472433
control,23,mobile,F,northeast,21.9,135,52.7,439700712
control,23,mobile,F,northeast,20.6,72,50.8,677093775
control,24,mobile,F,northeast,26.5,64,66.4,568429256
control,24,mobile,F,northeast,26.9,85,48.3,535469191
control,24,mobile,F,northeast,40.3,109,77.2,356091321
treatment,25,mobile,F,northeast,25.2,74,79.5,627854204
treatment,25,mobile,F,northeast,39.2,149,61.9,518709970
control,25,mobile,F,northeast,36.5,81,76.3,645202080
control,25,mobile,F,northeast,33.5,120,54.9,545060673
control,26,mobile,F,northeast,21.8,65,50.4,615599640
control,26,mobile,F,northeast,35.7,47,76.4,467893148
treatment,27,mobile,F,northeast,32.5,103,63.6,298591526
control,28,mobile,F,northeast,34.9,36,47.1,333357488
treatment,1,mobile,F,west,45.3,67,83.5,299920247
treatment,1,mobile,F,west,34.5,84,89.4,292363746
treatment,1,mobile,F,west,18.3,214,71.5,670589970
control,1,mobile,F,west,25.1,153,52.7,694163994
control,1,mobile,F,west,39.8,114,41.8,684956685
control,1,mobile,F,west,27,85,38.9,261981062
control,2,mobile,F,west,21,150,44.2,379907697
treatment,3,mobile,F,west,44.3,32,50.1,312159298
treatment,4,mobile,F,west,31.9,49,42.7,305845413
treatment,4,mobile,F,west,18.3,79,55.7,661421914
treatment,5,mobile,F,west,37.4,59,71.6,222135262
control,5,mobile,F,west,37.6,143,58.5,405861149
control,5,mobile,F,west,33.5,76,63,441281013
treatment,6,mobile,F,west,27.7,50,78.8,118858897
treatment,6,mobile,F,west,36,52,102.1,310681564
treatment,7,mobile,F,west,22.4,126,69.6,555632336
treatment,7,mobile,F,west,22.2,55,78.6,321969891
control,7,mobile,F,west,23.2,46,69.1,179422083
control,7,mobile,F,west,31.9,39,65.7,204362203
treatment,8,mobile,F,west,34,71,68,414962283
treatment,8,mobile,F,west,31.9,128,55.7,486119083
treatment,8,mobile,F,west,31.9,140,71.3,446950122
treatment,9,mobile,F,west,24.6,87,103.1,498005076
control,11,mobile,F,west,25.6,146,65.1,432733482
treatment,12,mobile,F,west,24.2,140,65.5,197548086
treatment,12,mobile,F,west,32.1,66,77.8,326850258
treatment,12,mobile,F,west,36.9,51,87.8,582923337
control,12,mobile,F,west,23.5,82,55.2,332633759
treatment,13,mobile,F,west,25.2,80,93.9,253806778
treatment,13,mobile,F,west,36.7,130,54.8,102890897
treatment,13,mobile,F,west,34.3,74,47.5,599808532
treatment,14,mobile,F,west,19.4,121,69.9,277088937
